,ID,Date,Category,Amount,Payment Method,Location
159,160,2023-11-04,Food,266.4,Credit Card,Chicago
160,161,2024-08-14,Food,186.23,Credit Card,Chicago
161,162,2024-05-12,Health,94.93,Cash,Houston
162,163,2024-09-06,Health,417.68,Credit Card,Phoenix
163,164,2024-04-28,Clothing,324.21,Debit Card,Houston
164,165,2024-01-16,Food,12.01,Debit Card,Phoenix
165,166,2024-07-14,Entertainment,457.3,Cash,Houston
166,167,2024-01-10,Food,73.58,Credit Card,Chicago
167,168,2024-06-11,Food,164.38,Mobile Payment,Houston
168,169,2023-10-26,Health,127.38,Credit Card,Los Angeles
169,170,2024-01-16,Utilities,84.06,Debit Card,New York
170,171,2024-08-14,Entertainment,137.46,Cash,Phoenix
171,172,2024-09-08,Miscellaneous,135.19,Mobile Payment,New York
172,173,2024-03-28,Entertainment,277.65,Credit Card,New York
173,174,2024-01-22,Entertainment,80.47,Mobile Payment,Chicago
174,175,2024-01-25,Miscellaneous,484.2,Cash,New York
175,176,2024-08-10,Transportation,431.49,Debit Card,Chicago
176,177,2024-03-18,Health,189.36,Debit Card,Phoenix
177,178,2023-11-09,Food,242.29,Credit Card,Chicago
178,179,2024-05-17,Transportation,375.92,Debit Card,Los Angeles
179,180,2024-08-26,Health,46.76,Credit Card,Houston
180,181,2023-10-16,Health,235.44,Mobile Payment,Los Angeles
181,182,2024-02-10,Entertainment,287.85,Mobile Payment,New York
182,183,2024-08-14,Food,325.67,Credit Card,Houston
183,184,2024-05-31,Food,306.22,Cash,Phoenix
184,185,2024-03-17,Transportation,443.2,Mobile Payment,Houston
185,186,2024-08-09,Entertainment,488.14,Mobile Payment,Los Angeles
186,187,2024-07-29,Utilities,380.02,Debit Card,New York
187,188,2023-12-30,Health,374.76,Cash,Los Angeles
188,189,2024-09-11,Clothing,296.9,Cash,Los Angeles
189,190,2024-03-20,Transportation,63.67,Debit Card,Los Angeles
190,191,2024-02-14,Entertainment,189.31,Mobile Payment,Phoenix
191,192,2024-09-18,Transportation,371.4,Mobile Payment,Houston
192,193,2024-08-18,Health,379.09,Debit Card,Chicago
193,194,2024-01-16,Entertainment,92.26,Credit Card,New York
194,195,2024-03-19,Miscellaneous,454.58,Cash,Chicago
195,196,2024-05-11,Miscellaneous,133.74,Mobile Payment,Houston
196,197,2024-01-07,Clothing,233.2,Credit Card,New York
197,198,2024-06-22,Entertainment,287.03,Cash,Houston
198,199,2023-10-14,Transportation,389.63,Cash,Los Angeles
199,200,2024-01-13,Food,144.99,Cash,New York
200,201,2024-02-04,Health,192.89,Mobile Payment,Chicago
201,202,2024-08-21,Utilities,130.86,Cash,Houston
202,203,2024-05-11,Miscellaneous,470.0,Mobile Payment,Houston
203,204,2024-08-19,Miscellaneous,223.33,Mobile Payment,Houston
204,205,2023-11-19,Clothing,151.26,Credit Card,New York
205,206,2024-04-04,Food,378.2,Credit Card,Chicago
206,207,2024-08-20,Transportation,210.38,Debit Card,Phoenix
207,208,2024-05-02,Miscellaneous,196.35,Credit Card,Chicago
208,209,2024-02-28,Clothing,363.03,Debit Card,New York
209,210,2023-12-21,Food,314.12,Credit Card,New York
210,211,2023-11-25,Entertainment,345.65,Debit Card,Phoenix
211,212,2023-11-02,Food,287.43,Credit Card,Phoenix
212,213,2024-01-28,Clothing,455.37,Credit Card,New York
213,214,2024-05-19,Miscellaneous,476.68,Cash,Houston
214,215,2024-09-23,Transportation,271.3,Credit Card,Phoenix
215,216,2024-07-24,Clothing,150.25,Cash,Chicago
216,217,2024-08-15,Transportation,430.42,Cash,New York
217,218,2024-09-21,Food,429.72,Credit Card,Houston
218,219,2024-06-06,Miscellaneous,266.49,Debit Card,New York
219,220,2023-10-28,Miscellaneous,152.82,Cash,Chicago
220,221,2024-01-22,Food,197.52,Mobile Payment,Phoenix
221,222,2023-11-30,Food,102.01,Debit Card,Los Angeles
222,223,2024-08-07,Entertainment,467.0,Mobile Payment,New York
223,224,2023-10-22,Transportation,281.59,Credit Card,Phoenix
224,225,2024-09-02,Food,155.52,Cash,Phoenix
225,226,2023-12-12,Transportation,393.62,Cash,Chicago
226,227,2024-02-12,Health,36.19,Mobile Payment,Phoenix
227,228,2024-06-01,Health,44.28,Cash,Los Angeles
228,229,2023-11-23,Transportation,124.05,Cash,Los Angeles
229,230,2024-05-31,Utilities,408.15,Debit Card,Phoenix
230,231,2023-11-15,Clothing,92.91,Mobile Payment,Chicago
231,232,2024-03-18,Transportation,438.05,Mobile Payment,Chicago
232,233,2023-10-14,Miscellaneous,432.41,Mobile Payment,Los Angeles
233,234,2024-09-15,Clothing,374.84,Credit Card,Houston
234,235,2023-11-17,Entertainment,12.28,Cash,New York
235,236,2024-07-30,Food,30.37,Credit Card,Los Angeles
236,237,2023-10-06,Food,165.1,Credit Card,Phoenix
237,238,2024-08-22,Health,181.35,Credit Card,New York
238,239,2024-06-10,Miscellaneous,405.12,Mobile Payment,Houston
239,240,2024-08-27,Food,247.71,Mobile Payment,Phoenix
240,241,2024-08-10,Food,187.65,Credit Card,New York
241,242,2023-12-14,Entertainment,427.86,Debit Card,New York
242,243,2023-12-25,Utilities,232.62,Debit Card,Chicago
243,244,2024-06-03,Utilities,409.8,Credit Card,Los Angeles
244,245,2024-05-05,Entertainment,180.01,Mobile Payment,Phoenix
245,246,2023-10-15,Health,146.61,Credit Card,Los Angeles
246,247,2024-01-27,Health,113.61,Debit Card,New York
247,248,2023-12-08,Miscellaneous,208.41,Cash,Phoenix
248,249,2024-06-18,Transportation,213.68,Credit Card,Los Angeles
249,250,2023-10-13,Miscellaneous,22.58,Credit Card,Phoenix
250,251,2024-02-04,Health,469.31,Cash,Phoenix
251,252,2023-11-25,Health,469.64,Debit Card,New York
252,253,2023-12-05,Entertainment,197.57,Mobile Payment,New York
253,254,2024-06-12,Food,10.91,Debit Card,Los Angeles
254,255,2023-10-15,Food,116.99,Debit Card,Houston
255,256,2023-10-19,Miscellaneous,311.35,Mobile Payment,Houston
256,257,2023-12-11,Miscellaneous,421.53,Credit Card,New York
257,258,2024-05-25,Utilities,116.93,Mobile Payment,New York
258,259,2024-07-18,Utilities,59.28,Mobile Payment,Houston
259,260,2024-03-25,Miscellaneous,383.89,Cash,Chicago
260,261,2024-03-29,Transportation,33.77,Cash,Houston
261,262,2024-02-08,Miscellaneous,134.12,Debit Card,Phoenix
262,263,2023-12-26,Miscellaneous,46.24,Mobile Payment,Chicago
263,264,2024-02-11,Health,454.77,Mobile Payment,Houston
264,265,2024-09-05,Clothing,124.58,Cash,Los Angeles
265,266,2024-09-17,Transportation,28.74,Debit Card,Houston
266,267,2024-09-18,Transportation,118.6,Mobile Payment,Los Angeles
267,268,2024-06-01,Miscellaneous,177.94,Debit Card,Los Angeles
268,269,2023-12-28,Clothing,155.66,Credit Card,Chicago
269,270,2023-12-18,Health,403.77,Mobile Payment,Phoenix
270,271,2023-12-04,Health,418.42,Debit Card,Los Angeles
271,272,2024-06-05,Entertainment,478.87,Credit Card,Phoenix
272,273,2024-06-30,Food,74.58,Cash,Phoenix
273,274,2023-10-11,Transportation,46.35,Credit Card,Chicago
274,275,2024-04-17,Health,160.12,Cash,Los Angeles
275,276,2024-09-03,Entertainment,477.86,Credit Card,New York
276,277,2024-05-02,Utilities,243.29,Credit Card,New York
277,278,2023-11-19,Utilities,230.94,Credit Card,Los Angeles
278,279,2024-08-28,Entertainment,208.9,Debit Card,Chicago
279,280,2024-08-29,Miscellaneous,320.95,Mobile Payment,New York
280,281,2024-07-11,Entertainment,260.34,Mobile Payment,Los Angeles
281,282,2023-11-28,Utilities,178.37,Credit Card,Houston
282,283,2023-10-02,Miscellaneous,293.13,Cash,Phoenix
283,284,2024-05-14,Health,303.12,Mobile Payment,New York
284,285,2024-04-14,Miscellaneous,252.11,Credit Card,Chicago
285,286,2024-06-24,Food,465.68,Mobile Payment,Houston
286,287,2024-08-10,Clothing,355.75,Mobile Payment,Houston
287,288,2024-08-16,Utilities,183.86,Credit Card,Los Angeles
288,289,2024-04-18,Food,320.07,Cash,Los Angeles
289,290,2024-08-11,Entertainment,425.63,Cash,New York
290,291,2023-12-01,Health,467.95,Debit Card,Houston
291,292,2024-03-30,Health,324.71,Credit Card,Chicago
292,293,2024-06-15,Food,308.69,Credit Card,Chicago
293,294,2024-04-19,Transportation,118.13,Credit Card,Houston
294,295,2024-08-04,Clothing,249.31,Credit Card,New York
295,296,2023-12-04,Health,32.02,Credit Card,Houston
296,297,2024-05-19,Transportation,279.71,Cash,Los Angeles
297,298,2024-08-21,Miscellaneous,420.82,Debit Card,New York
298,299,2023-10-01,Entertainment,440.03,Mobile Payment,Houston
299,300,2024-08-23,Transportation,7.79,Mobile Payment,Los Angeles
300,301,2024-06-14,Health,171.49,Mobile Payment,New York
301,302,2023-12-16,Entertainment,350.14,Cash,Phoenix
302,303,2024-02-20,Clothing,32.64,Credit Card,Chicago
303,304,2024-04-14,Food,252.95,Mobile Payment,Houston
304,305,2024-08-02,Clothing,384.2,Debit Card,Chicago
305,306,2024-06-22,Entertainment,390.06,Debit Card,Houston
306,307,2024-07-02,Utilities,58.86,Credit Card,Los Angeles
307,308,2024-01-05,Health,221.15,Credit Card,Phoenix
308,309,2024-05-04,Health,145.24,Cash,Chicago
309,310,2023-11-13,Clothing,334.95,Cash,Chicago
310,311,2024-07-03,Food,443.28,Debit Card,Houston
311,312,2024-08-19,Transportation,42.19,Credit Card,Los Angeles
312,313,2024-08-27,Utilities,423.62,Debit Card,Houston
313,314,2024-09-12,Transportation,190.87,Cash,Phoenix
314,315,2024-06-25,Clothing,419.9,Debit Card,Houston
315,316,2024-04-02,Utilities,188.56,Mobile Payment,Los Angeles
316,317,2023-12-01,Health,223.23,Debit Card,Houston
317,318,2024-03-02,Entertainment,97.69,Debit Card,Phoenix
318,319,2023-10-21,Food,52.0,Credit Card,New York
319,320,2024-01-22,Miscellaneous,246.71,Cash,New York
320,321,2023-10-14,Utilities,418.28,Mobile Payment,Chicago
321,322,2024-02-05,Food,151.9,Debit Card,Phoenix
322,323,2024-02-15,Food,298.51,Mobile Payment,Houston
323,324,2024-01-15,Health,390.87,Mobile Payment,Phoenix
324,325,2024-04-27,Food,145.47,Debit Card,Los Angeles
325,326,2024-03-20,Utilities,258.72,Cash,Los Angeles
326,327,2023-11-25,Health,281.23,Cash,Phoenix
327,328,2024-03-21,Entertainment,297.68,Debit Card,Los Angeles
328,329,2024-05-30,Entertainment,10.57,Mobile Payment,Houston
329,330,2024-05-31,Entertainment,127.56,Mobile Payment,Phoenix
330,331,2024-02-19,Utilities,84.77,Credit Card,New York
331,332,2024-02-23,Clothing,6.92,Mobile Payment,Phoenix
332,333,2024-06-19,Health,339.64,Cash,New York
333,334,2024-02-27,Health,327.23,Mobile Payment,New York
334,335,2023-11-11,Transportation,112.86,Mobile Payment,Phoenix
335,336,2023-12-07,Clothing,195.85,Credit Card,Houston
336,337,2023-10-27,Food,487.16,Mobile Payment,Chicago
337,338,2023-11-26,Health,335.63,Debit Card,New York
338,339,2024-09-17,Food,237.76,Mobile Payment,Los Angeles
339,340,2023-11-13,Utilities,114.93,Debit Card,Houston
340,341,2024-09-09,Health,471.72,Mobile Payment,Los Angeles
341,342,2024-01-06,Entertainment,401.98,Debit Card,Phoenix
342,343,2024-07-11,Clothing,368.89,Credit Card,Houston
343,344,2024-02-04,Health,265.18,Credit Card,Phoenix
344,345,2024-02-10,Transportation,114.88,Credit Card,Phoenix
345,346,2024-07-12,Utilities,256.89,Cash,New York
346,347,2024-01-24,Health,202.09,Debit Card,Los Angeles
347,348,2024-03-25,Miscellaneous,161.59,Credit Card,Houston
348,349,2024-01-31,Miscellaneous,254.49,Mobile Payment,Los Angeles
349,350,2024-02-25,Transportation,362.62,Credit Card,Phoenix
350,351,2024-02-15,Entertainment,83.61,Mobile Payment,Los Angeles
351,352,2024-01-05,Health,387.91,Credit Card,Houston
352,353,2023-12-03,Health,268.69,Cash,Phoenix
353,354,2024-03-17,Utilities,116.97,Cash,Houston
354,355,2024-08-28,Utilities,386.42,Debit Card,New York
355,356,2024-08-28,Transportation,258.55,Mobile Payment,Phoenix
356,357,2024-01-19,Food,262.33,Mobile Payment,Phoenix
357,358,2023-12-07,Entertainment,238.85,Credit Card,Houston
358,359,2024-07-02,Miscellaneous,181.97,Credit Card,Los Angeles
359,360,2024-07-08,Health,62.34,Cash,Chicago
360,361,2024-06-16,Utilities,183.45,Debit Card,Houston
361,362,2024-08-02,Transportation,192.95,Cash,Phoenix
362,363,2024-08-01,Health,170.67,Mobile Payment,Phoenix
363,364,2024-02-23,Food,371.66,Credit Card,New York
364,365,2024-01-18,Entertainment,216.32,Mobile Payment,Chicago
365,366,2023-12-22,Health,25.74,Credit Card,Houston
366,367,2023-10-18,Entertainment,109.64,Mobile Payment,Houston
367,368,2023-11-11,Health,265.11,Debit Card,Los Angeles
368,369,2024-08-11,Miscellaneous,362.13,Mobile Payment,Phoenix
369,370,2024-07-08,Health,387.39,Mobile Payment,Chicago
370,371,2024-05-02,Utilities,307.49,Debit Card,New York
371,372,2024-01-20,Transportation,467.21,Mobile Payment,Chicago
372,373,2024-09-02,Utilities,6.17,Debit Card,Los Angeles
373,374,2024-05-25,Miscellaneous,161.33,Debit Card,Phoenix
374,375,2024-01-15,Utilities,130.51,Credit Card,Chicago
375,376,2024-04-11,Transportation,401.57,Mobile Payment,Chicago
376,377,2024-03-04,Clothing,234.16,Mobile Payment,Houston
377,378,2024-07-28,Utilities,119.5,Cash,Chicago
378,379,2023-10-03,Transportation,80.02,Cash,Phoenix
379,380,2024-02-19,Health,112.01,Credit Card,New York
380,381,2024-02-21,Entertainment,77.76,Cash,Chicago
381,382,2023-10-12,Health,356.35,Debit Card,Los Angeles
382,383,2024-06-01,Entertainment,73.62,Mobile Payment,Los Angeles
383,384,2024-02-19,Utilities,357.6,Credit Card,Chicago
384,385,2024-02-28,Transportation,267.85,Mobile Payment,Phoenix
385,386,2024-04-30,Transportation,238.15,Credit Card,New York
386,387,2024-07-09,Clothing,158.58,Cash,Chicago
387,388,2024-09-15,Health,396.04,Cash,Chicago
388,389,2024-06-05,Health,215.19,Debit Card,New York
389,390,2024-02-14,Transportation,425.32,Debit Card,Phoenix
390,391,2024-07-10,Clothing,35.98,Mobile Payment,Chicago
391,392,2024-03-16,Miscellaneous,316.17,Cash,Houston
392,393,2023-11-08,Transportation,470.73,Mobile Payment,Phoenix
393,394,2023-12-21,Miscellaneous,52.01,Credit Card,Houston
394,395,2024-03-06,Food,439.8,Mobile Payment,Los Angeles
395,396,2023-10-08,Transportation,338.23,Credit Card,Phoenix
396,397,2024-02-17,Health,175.37,Mobile Payment,Chicago
397,398,2024-09-19,Miscellaneous,158.42,Mobile Payment,New York
398,399,2024-09-17,Entertainment,389.65,Cash,Chicago
399,400,2024-01-29,Clothing,494.78,Mobile Payment,Los Angeles
400,401,2024-01-22,Health,319.09,Credit Card,New York
401,402,2024-05-13,Health,422.7,Mobile Payment,Chicago
402,403,2023-11-03,Health,288.47,Mobile Payment,New York
403,404,2024-09-06,Food,252.31,Debit Card,Chicago
404,405,2024-07-05,Health,444.63,Debit Card,Los Angeles
405,406,2024-01-25,Utilities,97.71,Debit Card,Chicago
406,407,2024-03-17,Miscellaneous,393.54,Credit Card,Phoenix
407,408,2024-07-09,Transportation,52.92,Debit Card,Los Angeles
408,409,2024-09-14,Entertainment,362.68,Mobile Payment,Phoenix
409,410,2024-08-14,Health,348.94,Cash,Phoenix
410,411,2023-11-10,Food,34.96,Debit Card,New York
411,412,2024-03-17,Clothing,393.64,Credit Card,Houston
412,413,2024-08-28,Miscellaneous,186.06,Credit Card,Chicago
413,414,2024-07-24,Entertainment,131.48,Debit Card,Phoenix
414,415,2024-06-28,Transportation,236.58,Mobile Payment,New York
415,416,2024-06-08,Miscellaneous,90.56,Cash,Chicago
416,417,2023-10-19,Miscellaneous,472.81,Debit Card,Los Angeles
417,418,2024-06-29,Miscellaneous,400.26,Mobile Payment,Chicago
418,419,2023-12-30,Transportation,244.49,Cash,Houston
419,420,2023-12-31,Clothing,34.16,Debit Card,New York
420,421,2024-03-06,Entertainment,345.07,Credit Card,Chicago
421,422,2024-03-12,Utilities,162.51,Mobile Payment,New York
422,423,2024-04-15,Clothing,380.11,Mobile Payment,Phoenix
423,424,2024-05-07,Utilities,164.35,Debit Card,Phoenix
424,425,2023-12-29,Food,322.63,Mobile Payment,Los Angeles
425,426,2024-03-28,Food,364.29,Cash,Houston
426,427,2024-01-16,Transportation,296.75,Debit Card,New York
427,428,2024-07-07,Utilities,393.79,Debit Card,Los Angeles
428,429,2023-12-08,Utilities,298.79,Cash,Phoenix
429,430,2024-09-20,Entertainment,349.94,Debit Card,New York
430,431,2024-05-14,Transportation,475.8,Credit Card,Chicago
431,432,2024-04-19,Clothing,30.75,Cash,Los Angeles
432,433,2024-04-07,Miscellaneous,94.88,Mobile Payment,Chicago
433,434,2024-07-29,Transportation,31.89,Cash,Los Angeles
434,435,2024-08-08,Health,46.37,Debit Card,Phoenix
435,436,2024-01-21,Miscellaneous,499.68,Mobile Payment,New York
436,437,2024-09-19,Food,355.11,Credit Card,Phoenix
437,438,2024-01-18,Miscellaneous,423.19,Cash,New York
438,439,2024-02-17,Transportation,394.84,Debit Card,New York
439,440,2024-03-08,Transportation,197.55,Cash,Chicago
440,441,2024-04-28,Utilities,29.95,Mobile Payment,New York
441,442,2024-03-05,Food,197.57,Debit Card,New York
442,443,2024-08-26,Entertainment,82.92,Mobile Payment,Phoenix
443,444,2024-04-09,Food,130.75,Credit Card,Chicago
444,445,2024-08-16,Clothing,349.53,Debit Card,Los Angeles
445,446,2024-01-30,Miscellaneous,28.74,Debit Card,Phoenix
446,447,2024-07-13,Clothing,363.27,Debit Card,Phoenix
447,448,2024-06-01,Transportation,362.95,Mobile Payment,Chicago
448,449,2024-04-11,Entertainment,241.9,Debit Card,Houston
449,450,2024-05-03,Miscellaneous,118.96,Mobile Payment,Chicago
